
Episode 800, Reward: 530.0, MovingAvg(100): 589.10, avgMovingReward: 572.6, Epsilon: 0.0500, Actor_Loss: -22.6870, Critic_Loss: 1363.4067, Entropy: 1.9534

Episode 801, Reward: 340.0, MovingAvg(100): 587.00, avgMovingReward: 549.3, Epsilon: 0.0500, Actor_Loss: 26.3835, Critic_Loss: 1502.6603, Entropy: 1.9535

Episode 802, Reward: 250.0, MovingAvg(100): 584.30, avgMovingReward: 519.4, Epsilon: 0.0500, Actor_Loss: -2.7481, Critic_Loss: 427.5168, Entropy: 1.9561

Episode 803, Reward: 220.0, MovingAvg(100): 582.10, avgMovingReward: 489.4, Epsilon: 0.0500, Actor_Loss: 43.8891, Critic_Loss: 2422.5585, Entropy: 1.9537

Episode 804, Reward: 520.0, MovingAvg(100): 571.50, avgMovingReward: 492.5, Epsilon: 0.0500, Actor_Loss: -10.9048, Critic_Loss: 1854.5224, Entropy: 1.9686

Episode 805, Reward: 1180.0, MovingAvg(100): 579.00, avgMovingReward: 561.2, Epsilon: 0.0500, Actor_Loss: -307.6329, Critic_Loss: 123409.9758, Entropy: 1.9752

Episode 806, Reward: 520.0, MovingAvg(100): 577.50, avgMovingReward: 557.1, Epsilon: 0.0500, Actor_Loss: 21.8881, Critic_Loss: 1004.3486, Entropy: 1.9757

Episode 807, Reward: 1110.0, MovingAvg(100): 585.10, avgMovingReward: 612.4, Epsilon: 0.0500, Actor_Loss: 24.6509, Critic_Loss: 721.5006, Entropy: 1.9892

Episode 808, Reward: 410.0, MovingAvg(100): 579.20, avgMovingReward: 592.2, Epsilon: 0.0500, Actor_Loss: 3.8302, Critic_Loss: 1199.5825, Entropy: 1.9941

Episode 809, Reward: 310.0, MovingAvg(100): 580.20, avgMovingReward: 563.9, Epsilon: 0.0500, Actor_Loss: 46.3909, Critic_Loss: 2895.8672, Entropy: 1.9933

Episode 810, Reward: 380.0, MovingAvg(100): 577.80, avgMovingReward: 545.6, Epsilon: 0.0500, Actor_Loss: 37.7399, Critic_Loss: 2412.1824, Entropy: 1.9886

Episode 811, Reward: 370.0, MovingAvg(100): 578.30, avgMovingReward: 528.0, Epsilon: 0.0500, Actor_Loss: 31.8361, Critic_Loss: 1578.4103, Entropy: 1.9881

Episode 812, Reward: 320.0, MovingAvg(100): 578.00, avgMovingReward: 507.2, Epsilon: 0.0500, Actor_Loss: 66.0485, Critic_Loss: 5358.8080, Entropy: 1.9925

Episode 813, Reward: 510.0, MovingAvg(100): 581.50, avgMovingReward: 507.5, Epsilon: 0.0500, Actor_Loss: -28.8498, Critic_Loss: 1003.8544, Entropy: 1.9967

Episode 814, Reward: 550.0, MovingAvg(100): 583.90, avgMovingReward: 511.7, Epsilon: 0.0500, Actor_Loss: -44.5596, Critic_Loss: 2801.7898, Entropy: 1.9852

Episode 815, Reward: 660.0, MovingAvg(100): 583.20, avgMovingReward: 526.6, Epsilon: 0.0500, Actor_Loss: -18.6751, Critic_Loss: 4849.1598, Entropy: 1.9831

Episode 816, Reward: 360.0, MovingAvg(100): 580.30, avgMovingReward: 509.9, Epsilon: 0.0500, Actor_Loss: 41.4468, Critic_Loss: 2376.3436, Entropy: 1.9799

Episode 817, Reward: 500.0, MovingAvg(100): 583.30, avgMovingReward: 508.9, Epsilon: 0.0500, Actor_Loss: 47.6075, Critic_Loss: 4266.0227, Entropy: 1.9864

Episode 818, Reward: 340.0, MovingAvg(100): 583.00, avgMovingReward: 492.0, Epsilon: 0.0500, Actor_Loss: 14.9083, Critic_Loss: 560.6473, Entropy: 2.0024

Episode 819, Reward: 510.0, MovingAvg(100): 585.70, avgMovingReward: 493.8, Epsilon: 0.0500, Actor_Loss: -19.1144, Critic_Loss: 3837.9253, Entropy: 2.0171

Episode 820, Reward: 600.0, MovingAvg(100): 586.60, avgMovingReward: 504.4, Epsilon: 0.0500, Actor_Loss: 57.9592, Critic_Loss: 4361.7620, Entropy: 2.0011

Episode 821, Reward: 250.0, MovingAvg(100): 585.80, avgMovingReward: 479.0, Epsilon: 0.0500, Actor_Loss: 34.8397, Critic_Loss: 1274.2691, Entropy: 1.9944

Episode 822, Reward: 670.0, MovingAvg(100): 588.30, avgMovingReward: 498.1, Epsilon: 0.0500, Actor_Loss: 37.9850, Critic_Loss: 2106.2823, Entropy: 2.0084

Episode 823, Reward: 910.0, MovingAvg(100): 591.50, avgMovingReward: 539.3, Epsilon: 0.0500, Actor_Loss: -7.4189, Critic_Loss: 5605.3067, Entropy: 2.0039

Episode 824, Reward: 600.0, MovingAvg(100): 587.90, avgMovingReward: 545.4, Epsilon: 0.0500, Actor_Loss: 38.7620, Critic_Loss: 2208.1527, Entropy: 1.9976

Episode 825, Reward: 550.0, MovingAvg(100): 589.70, avgMovingReward: 545.8, Epsilon: 0.0500, Actor_Loss: 16.1557, Critic_Loss: 1874.0819, Entropy: 2.0117

Episode 826, Reward: 560.0, MovingAvg(100): 590.00, avgMovingReward: 547.2, Epsilon: 0.0500, Actor_Loss: -1.4046, Critic_Loss: 648.6654, Entropy: 2.0189

Episode 827, Reward: 320.0, MovingAvg(100): 590.10, avgMovingReward: 524.5, Epsilon: 0.0500, Actor_Loss: 48.0523, Critic_Loss: 2872.9137, Entropy: 2.0177

Episode 828, Reward: 340.0, MovingAvg(100): 589.40, avgMovingReward: 506.1, Epsilon: 0.0500, Actor_Loss: 45.0830, Critic_Loss: 2670.5862, Entropy: 2.0191

Episode 829, Reward: 340.0, MovingAvg(100): 588.70, avgMovingReward: 489.5, Epsilon: 0.0500, Actor_Loss: 15.4294, Critic_Loss: 586.2041, Entropy: 2.0190

