
Episode 1800, Reward: 370.0, MovingAvg(100): 707.50, avgMovingReward: 780.4, Epsilon: 0.0500, Actor_Loss: 64.2525, Critic_Loss: 5725.9364, Entropy: 1.9665

Episode 1801, Reward: 390.0, MovingAvg(100): 704.10, avgMovingReward: 741.3, Epsilon: 0.0500, Actor_Loss: -13.5268, Critic_Loss: 839.6076, Entropy: 1.9828

Episode 1802, Reward: 250.0, MovingAvg(100): 699.80, avgMovingReward: 692.2, Epsilon: 0.0500, Actor_Loss: 42.4691, Critic_Loss: 2202.9098, Entropy: 1.9849

Episode 1803, Reward: 1030.0, MovingAvg(100): 704.90, avgMovingReward: 726.0, Epsilon: 0.0500, Actor_Loss: -154.4087, Critic_Loss: 27392.1426, Entropy: 1.9928

Episode 1804, Reward: 720.0, MovingAvg(100): 706.40, avgMovingReward: 725.4, Epsilon: 0.0500, Actor_Loss: 9.9870, Critic_Loss: 561.3941, Entropy: 1.9695

Episode 1805, Reward: 1890.0, MovingAvg(100): 719.20, avgMovingReward: 841.8, Epsilon: 0.0500, Actor_Loss: -303.4612, Critic_Loss: 140000.0719, Entropy: 2.0141

Episode 1806, Reward: 670.0, MovingAvg(100): 721.50, avgMovingReward: 824.7, Epsilon: 0.0500, Actor_Loss: -98.0237, Critic_Loss: 18124.1494, Entropy: 2.0212

Episode 1807, Reward: 360.0, MovingAvg(100): 721.10, avgMovingReward: 778.2, Epsilon: 0.0500, Actor_Loss: -22.1790, Critic_Loss: 1704.6404, Entropy: 2.0182

Episode 1808, Reward: 560.0, MovingAvg(100): 720.70, avgMovingReward: 756.4, Epsilon: 0.0500, Actor_Loss: 62.5366, Critic_Loss: 4987.0139, Entropy: 1.9925

Episode 1809, Reward: 480.0, MovingAvg(100): 710.10, avgMovingReward: 728.7, Epsilon: 0.0500, Actor_Loss: 49.7038, Critic_Loss: 5822.0793, Entropy: 1.9899

Episode 1810, Reward: 700.0, MovingAvg(100): 705.70, avgMovingReward: 725.9, Epsilon: 0.0500, Actor_Loss: -11.2964, Critic_Loss: 1331.1741, Entropy: 1.9945

Episode 1811, Reward: 490.0, MovingAvg(100): 689.40, avgMovingReward: 702.3, Epsilon: 0.0500, Actor_Loss: 37.8198, Critic_Loss: 1948.9384, Entropy: 1.9803

Episode 1812, Reward: 590.0, MovingAvg(100): 687.00, avgMovingReward: 691.0, Epsilon: 0.0500, Actor_Loss: -0.2270, Critic_Loss: 2793.0031, Entropy: 1.9956

Episode 1813, Reward: 440.0, MovingAvg(100): 680.70, avgMovingReward: 665.9, Epsilon: 0.0500, Actor_Loss: 18.2364, Critic_Loss: 1382.8913, Entropy: 2.0014

Episode 1814, Reward: 730.0, MovingAvg(100): 684.70, avgMovingReward: 672.3, Epsilon: 0.0500, Actor_Loss: -115.3277, Critic_Loss: 17654.4412, Entropy: 2.0168

Episode 1815, Reward: 570.0, MovingAvg(100): 684.90, avgMovingReward: 662.1, Epsilon: 0.0500, Actor_Loss: 36.9365, Critic_Loss: 1650.9376, Entropy: 2.0030

Episode 1816, Reward: 610.0, MovingAvg(100): 679.30, avgMovingReward: 656.9, Epsilon: 0.0500, Actor_Loss: 18.6947, Critic_Loss: 828.7264, Entropy: 2.0311

Episode 1817, Reward: 500.0, MovingAvg(100): 676.80, avgMovingReward: 641.2, Epsilon: 0.0500, Actor_Loss: 27.6047, Critic_Loss: 952.4125, Entropy: 2.0547

Episode 1818, Reward: 1740.0, MovingAvg(100): 688.60, avgMovingReward: 751.1, Epsilon: 0.0500, Actor_Loss: -220.7992, Critic_Loss: 198165.9781, Entropy: 2.0579

Episode 1819, Reward: 390.0, MovingAvg(100): 678.10, avgMovingReward: 715.0, Epsilon: 0.0500, Actor_Loss: 18.9921, Critic_Loss: 818.9683, Entropy: 2.0445

Episode 1820, Reward: 420.0, MovingAvg(100): 677.30, avgMovingReward: 685.5, Epsilon: 0.0500, Actor_Loss: -14.9855, Critic_Loss: 875.3974, Entropy: 2.0566

Episode 1821, Reward: 320.0, MovingAvg(100): 675.40, avgMovingReward: 648.9, Epsilon: 0.0500, Actor_Loss: 74.5595, Critic_Loss: 7192.2020, Entropy: 2.0309

Episode 1822, Reward: 2060.0, MovingAvg(100): 688.70, avgMovingReward: 790.0, Epsilon: 0.0500, Actor_Loss: -352.5513, Critic_Loss: 269796.7500, Entropy: 2.0321

Episode 1823, Reward: 460.0, MovingAvg(100): 689.50, avgMovingReward: 757.0, Epsilon: 0.0500, Actor_Loss: 11.3236, Critic_Loss: 1807.6721, Entropy: 2.0158

