
Episode 600, Reward: 390.0, MovingAvg(100): 581.90, avgMovingReward: 488.1, Epsilon: 0.0505, Actor_Loss: 42.2471, Critic_Loss: 2158.2999, Entropy: 2.0305

Episode 601, Reward: 550.0, MovingAvg(100): 582.20, avgMovingReward: 494.3, Epsilon: 0.0503, Actor_Loss: 8.9543, Critic_Loss: 1948.9524, Entropy: 2.0281

Episode 602, Reward: 520.0, MovingAvg(100): 575.70, avgMovingReward: 496.8, Epsilon: 0.0500, Actor_Loss: 0.1700, Critic_Loss: 573.8475, Entropy: 2.0258

Episode 603, Reward: 750.0, MovingAvg(100): 575.60, avgMovingReward: 522.1, Epsilon: 0.0500, Actor_Loss: 6.8719, Critic_Loss: 2374.7113, Entropy: 2.0168

Episode 604, Reward: 360.0, MovingAvg(100): 575.00, avgMovingReward: 505.9, Epsilon: 0.0500, Actor_Loss: 76.6917, Critic_Loss: 7297.9014, Entropy: 2.0143

Episode 605, Reward: 1020.0, MovingAvg(100): 580.10, avgMovingReward: 557.3, Epsilon: 0.0500, Actor_Loss: -51.2381, Critic_Loss: 4045.4424, Entropy: 2.0257

Episode 606, Reward: 460.0, MovingAvg(100): 581.80, avgMovingReward: 547.6, Epsilon: 0.0500, Actor_Loss: 42.3976, Critic_Loss: 2376.1462, Entropy: 2.0135

Episode 607, Reward: 310.0, MovingAvg(100): 578.90, avgMovingReward: 523.8, Epsilon: 0.0500, Actor_Loss: 20.2701, Critic_Loss: 823.6480, Entropy: 2.0102

Episode 608, Reward: 470.0, MovingAvg(100): 579.30, avgMovingReward: 518.5, Epsilon: 0.0500, Actor_Loss: 27.1723, Critic_Loss: 1621.5091, Entropy: 2.0150

Episode 609, Reward: 280.0, MovingAvg(100): 575.30, avgMovingReward: 494.6, Epsilon: 0.0500, Actor_Loss: 4.6290, Critic_Loss: 913.4064, Entropy: 2.0086

Episode 610, Reward: 580.0, MovingAvg(100): 576.10, avgMovingReward: 503.2, Epsilon: 0.0500, Actor_Loss: 52.5361, Critic_Loss: 2939.8544, Entropy: 2.0112

Episode 611, Reward: 710.0, MovingAvg(100): 574.30, avgMovingReward: 523.8, Epsilon: 0.0500, Actor_Loss: 35.9276, Critic_Loss: 1496.9026, Entropy: 2.0173

Episode 612, Reward: 1200.0, MovingAvg(100): 579.50, avgMovingReward: 591.5, Epsilon: 0.0500, Actor_Loss: -313.7563, Critic_Loss: 107411.4359, Entropy: 2.0220

