
Episode 1600, Reward: 750.0, MovingAvg(100): 595.10, avgMovingReward: 710.7, Epsilon: 0.0500, Actor_Loss: -20.4407, Critic_Loss: 3215.7528, Entropy: 2.0044

Episode 1601, Reward: 520.0, MovingAvg(100): 596.80, avgMovingReward: 691.7, Epsilon: 0.0500, Actor_Loss: 6.0908, Critic_Loss: 738.7055, Entropy: 1.9942

Episode 1602, Reward: 740.0, MovingAvg(100): 595.90, avgMovingReward: 696.5, Epsilon: 0.0500, Actor_Loss: 13.7185, Critic_Loss: 1116.5184, Entropy: 2.0043

Episode 1603, Reward: 560.0, MovingAvg(100): 591.80, avgMovingReward: 682.9, Epsilon: 0.0500, Actor_Loss: 26.9725, Critic_Loss: 2358.7725, Entropy: 2.0092

Episode 1604, Reward: 1350.0, MovingAvg(100): 599.70, avgMovingReward: 749.6, Epsilon: 0.0500, Actor_Loss: -338.9843, Critic_Loss: 168395.7750, Entropy: 2.0318

Episode 1605, Reward: 690.0, MovingAvg(100): 601.40, avgMovingReward: 743.6, Epsilon: 0.0500, Actor_Loss: -5.0074, Critic_Loss: 1016.6929, Entropy: 2.0280

Episode 1606, Reward: 370.0, MovingAvg(100): 602.70, avgMovingReward: 706.3, Epsilon: 0.0500, Actor_Loss: 10.0921, Critic_Loss: 615.3050, Entropy: 2.0197

Episode 1607, Reward: 1390.0, MovingAvg(100): 613.20, avgMovingReward: 774.6, Epsilon: 0.0500, Actor_Loss: -357.5906, Critic_Loss: 150840.2094, Entropy: 2.0318

Episode 1608, Reward: 960.0, MovingAvg(100): 616.70, avgMovingReward: 793.2, Epsilon: 0.0500, Actor_Loss: 10.9824, Critic_Loss: 2740.4202, Entropy: 2.0066

Episode 1609, Reward: 590.0, MovingAvg(100): 617.40, avgMovingReward: 772.8, Epsilon: 0.0500, Actor_Loss: 80.0011, Critic_Loss: 6986.6495, Entropy: 2.0154

Episode 1610, Reward: 400.0, MovingAvg(100): 613.10, avgMovingReward: 735.6, Epsilon: 0.0500, Actor_Loss: -35.3271, Critic_Loss: 2400.6218, Entropy: 2.0239

Episode 1611, Reward: 430.0, MovingAvg(100): 611.20, avgMovingReward: 705.0, Epsilon: 0.0500, Actor_Loss: -16.9889, Critic_Loss: 671.4878, Entropy: 2.0252

Episode 1612, Reward: 550.0, MovingAvg(100): 610.60, avgMovingReward: 689.5, Epsilon: 0.0500, Actor_Loss: 103.3471, Critic_Loss: 5356.5773, Entropy: 1.7116

Episode 1613, Reward: 890.0, MovingAvg(100): 612.00, avgMovingReward: 709.6, Epsilon: 0.0500, Actor_Loss: 107.5407, Critic_Loss: 13906.4587, Entropy: 1.8969

Episode 1614, Reward: 470.0, MovingAvg(100): 611.80, avgMovingReward: 685.6, Epsilon: 0.0500, Actor_Loss: 74.3736, Critic_Loss: 6099.7174, Entropy: 1.9505

Episode 1615, Reward: 1160.0, MovingAvg(100): 615.70, avgMovingReward: 733.0, Epsilon: 0.0500, Actor_Loss: 53.4440, Critic_Loss: 3615.7933, Entropy: 1.9895

Episode 1616, Reward: 740.0, MovingAvg(100): 617.20, avgMovingReward: 733.7, Epsilon: 0.0500, Actor_Loss: 40.8112, Critic_Loss: 2310.2359, Entropy: 1.9954

