
Episode 400, Reward: 1180.0, MovingAvg(100): 565.90, avgMovingReward: 631.4, Epsilon: 0.1377, Actor_Loss: -16.3329, Critic_Loss: 7133.3986, Entropy: 2.0261

Episode 401, Reward: 270.0, MovingAvg(100): 566.30, avgMovingReward: 595.2, Epsilon: 0.1370, Actor_Loss: -8.1843, Critic_Loss: 448.4820, Entropy: 1.9984

Episode 402, Reward: 440.0, MovingAvg(100): 560.50, avgMovingReward: 579.7, Epsilon: 0.1363, Actor_Loss: 41.5956, Critic_Loss: 1594.2216, Entropy: 2.0339

Episode 403, Reward: 710.0, MovingAvg(100): 560.80, avgMovingReward: 592.7, Epsilon: 0.1357, Actor_Loss: 37.8519, Critic_Loss: 1945.8701, Entropy: 2.0670

Episode 404, Reward: 310.0, MovingAvg(100): 561.40, avgMovingReward: 564.5, Epsilon: 0.1350, Actor_Loss: -71.2453, Critic_Loss: 5776.1205, Entropy: 2.0735

Episode 405, Reward: 230.0, MovingAvg(100): 561.90, avgMovingReward: 531.0, Epsilon: 0.1343, Actor_Loss: -17.9442, Critic_Loss: 812.5726, Entropy: 2.0725

Episode 406, Reward: 260.0, MovingAvg(100): 558.10, avgMovingReward: 503.9, Epsilon: 0.1336, Actor_Loss: 2.7720, Critic_Loss: 348.7839, Entropy: 2.0543

Episode 407, Reward: 280.0, MovingAvg(100): 552.30, avgMovingReward: 481.5, Epsilon: 0.1330, Actor_Loss: 24.3878, Critic_Loss: 776.7168, Entropy: 2.0467

Episode 408, Reward: 670.0, MovingAvg(100): 555.90, avgMovingReward: 500.4, Epsilon: 0.1323, Actor_Loss: -33.9435, Critic_Loss: 2417.2099, Entropy: 2.0454

Episode 409, Reward: 210.0, MovingAvg(100): 553.50, avgMovingReward: 471.3, Epsilon: 0.1316, Actor_Loss: -5.4097, Critic_Loss: 664.0489, Entropy: 2.0182

Episode 410, Reward: 420.0, MovingAvg(100): 538.10, avgMovingReward: 466.2, Epsilon: 0.1310, Actor_Loss: 57.4918, Critic_Loss: 4267.5411, Entropy: 1.9993

Episode 411, Reward: 330.0, MovingAvg(100): 536.40, avgMovingReward: 452.6, Epsilon: 0.1303, Actor_Loss: 32.1612, Critic_Loss: 2000.5078, Entropy: 2.0063

Episode 412, Reward: 240.0, MovingAvg(100): 537.50, avgMovingReward: 431.3, Epsilon: 0.1297, Actor_Loss: -0.4134, Critic_Loss: 516.0064, Entropy: 2.0097

Episode 413, Reward: 500.0, MovingAvg(100): 536.00, avgMovingReward: 438.2, Epsilon: 0.1290, Actor_Loss: 17.8530, Critic_Loss: 4446.9599, Entropy: 2.0313

Episode 414, Reward: 210.0, MovingAvg(100): 534.40, avgMovingReward: 415.4, Epsilon: 0.1284, Actor_Loss: -2.7772, Critic_Loss: 1402.2907, Entropy: 2.0558

Episode 415, Reward: 540.0, MovingAvg(100): 534.30, avgMovingReward: 427.8, Epsilon: 0.1277, Actor_Loss: -3.9244, Critic_Loss: 5188.1346, Entropy: 2.0403

Episode 416, Reward: 230.0, MovingAvg(100): 534.60, avgMovingReward: 408.1, Epsilon: 0.1271, Actor_Loss: 12.2920, Critic_Loss: 449.7878, Entropy: 2.0277

Episode 417, Reward: 310.0, MovingAvg(100): 533.90, avgMovingReward: 398.2, Epsilon: 0.1265, Actor_Loss: 47.6563, Critic_Loss: 2353.0254, Entropy: 2.0608

