
Episode 1000, Reward: 840.0, MovingAvg(100): 576.00, avgMovingReward: 540.4, Epsilon: 0.0500, Actor_Loss: -61.0297, Critic_Loss: 4012.1037, Entropy: 2.0339

Episode 1001, Reward: 740.0, MovingAvg(100): 574.20, avgMovingReward: 560.4, Epsilon: 0.0500, Actor_Loss: -56.5236, Critic_Loss: 5480.2117, Entropy: 2.0177

Episode 1002, Reward: 190.0, MovingAvg(100): 570.40, avgMovingReward: 523.3, Epsilon: 0.0500, Actor_Loss: 12.6694, Critic_Loss: 765.1682, Entropy: 2.0028

Episode 1003, Reward: 560.0, MovingAvg(100): 568.70, avgMovingReward: 527.0, Epsilon: 0.0500, Actor_Loss: -55.8712, Critic_Loss: 6211.7509, Entropy: 2.0083

Episode 1004, Reward: 240.0, MovingAvg(100): 565.80, avgMovingReward: 498.3, Epsilon: 0.0500, Actor_Loss: 65.7847, Critic_Loss: 4878.6710, Entropy: 2.0081

Episode 1005, Reward: 820.0, MovingAvg(100): 567.80, avgMovingReward: 530.5, Epsilon: 0.0500, Actor_Loss: 29.4218, Critic_Loss: 1193.0191, Entropy: 2.0207

Episode 1006, Reward: 500.0, MovingAvg(100): 569.60, avgMovingReward: 527.4, Epsilon: 0.0500, Actor_Loss: 18.5787, Critic_Loss: 881.6553, Entropy: 2.0196

Episode 1007, Reward: 540.0, MovingAvg(100): 569.10, avgMovingReward: 528.7, Epsilon: 0.0500, Actor_Loss: -55.6142, Critic_Loss: 8053.8584, Entropy: 2.0404

Episode 1008, Reward: 370.0, MovingAvg(100): 567.00, avgMovingReward: 512.8, Epsilon: 0.0500, Actor_Loss: 14.4946, Critic_Loss: 1705.0976, Entropy: 2.0290

Episode 1009, Reward: 550.0, MovingAvg(100): 563.10, avgMovingReward: 516.5, Epsilon: 0.0500, Actor_Loss: 44.2503, Critic_Loss: 2715.1750, Entropy: 2.0240

Episode 1010, Reward: 440.0, MovingAvg(100): 559.80, avgMovingReward: 508.9, Epsilon: 0.0500, Actor_Loss: -19.7451, Critic_Loss: 1539.6457, Entropy: 2.0204

Episode 1011, Reward: 150.0, MovingAvg(100): 557.40, avgMovingReward: 473.0, Epsilon: 0.0500, Actor_Loss: 15.4156, Critic_Loss: 760.9057, Entropy: 2.0119

Episode 1012, Reward: 550.0, MovingAvg(100): 559.50, avgMovingReward: 480.7, Epsilon: 0.0500, Actor_Loss: 29.3379, Critic_Loss: 1325.5869, Entropy: 2.0094

Episode 1013, Reward: 670.0, MovingAvg(100): 562.70, avgMovingReward: 499.6, Epsilon: 0.0500, Actor_Loss: 43.6865, Critic_Loss: 4072.2790, Entropy: 2.0063

Episode 1014, Reward: 440.0, MovingAvg(100): 562.60, avgMovingReward: 493.7, Epsilon: 0.0500, Actor_Loss: 38.9513, Critic_Loss: 2187.1903, Entropy: 2.0026

Episode 1015, Reward: 970.0, MovingAvg(100): 563.20, avgMovingReward: 541.3, Epsilon: 0.0500, Actor_Loss: -7.3436, Critic_Loss: 9131.0673, Entropy: 2.0032

