
Episode 200, Reward: 520.0, MovingAvg(100): 509.20, avgMovingReward: 585.7, Epsilon: 0.3753, Actor_Loss: 104.6518, Critic_Loss: 13823.3882, Entropy: 0.8887

Episode 201, Reward: 950.0, MovingAvg(100): 516.10, avgMovingReward: 622.1, Epsilon: 0.3734, Actor_Loss: 85.1420, Critic_Loss: 13173.3702, Entropy: 0.8989

Episode 202, Reward: 890.0, MovingAvg(100): 522.30, avgMovingReward: 648.9, Epsilon: 0.3716, Actor_Loss: 127.0454, Critic_Loss: 19694.3101, Entropy: 0.9090

Episode 203, Reward: 270.0, MovingAvg(100): 521.90, avgMovingReward: 611.0, Epsilon: 0.3697, Actor_Loss: 64.7687, Critic_Loss: 1856.4300, Entropy: 0.9682

Episode 204, Reward: 880.0, MovingAvg(100): 527.90, avgMovingReward: 637.9, Epsilon: 0.3678, Actor_Loss: 73.8063, Critic_Loss: 6073.2835, Entropy: 1.1093

Episode 205, Reward: 350.0, MovingAvg(100): 529.30, avgMovingReward: 609.1, Epsilon: 0.3660, Actor_Loss: 55.6966, Critic_Loss: 3346.4743, Entropy: 1.4676

Episode 206, Reward: 940.0, MovingAvg(100): 529.90, avgMovingReward: 642.2, Epsilon: 0.3642, Actor_Loss: -17.9475, Critic_Loss: 26728.4736, Entropy: 1.5036

Episode 207, Reward: 380.0, MovingAvg(100): 530.90, avgMovingReward: 616.0, Epsilon: 0.3624, Actor_Loss: 60.7461, Critic_Loss: 4070.3061, Entropy: 1.4149

Episode 208, Reward: 230.0, MovingAvg(100): 530.40, avgMovingReward: 577.4, Epsilon: 0.3605, Actor_Loss: 44.7562, Critic_Loss: 1044.5266, Entropy: 1.5418

Episode 209, Reward: 290.0, MovingAvg(100): 529.80, avgMovingReward: 548.7, Epsilon: 0.3587, Actor_Loss: 25.6133, Critic_Loss: 799.6327, Entropy: 1.7693

Episode 210, Reward: 590.0, MovingAvg(100): 531.40, avgMovingReward: 552.8, Epsilon: 0.3569, Actor_Loss: -129.0805, Critic_Loss: 15559.3669, Entropy: 1.7798

Episode 211, Reward: 700.0, MovingAvg(100): 535.40, avgMovingReward: 567.5, Epsilon: 0.3552, Actor_Loss: 40.4970, Critic_Loss: 1957.4698, Entropy: 1.0062

Episode 212, Reward: 300.0, MovingAvg(100): 536.30, avgMovingReward: 540.8, Epsilon: 0.3534, Actor_Loss: 2.1912, Critic_Loss: 1294.1206, Entropy: 1.5701

Episode 213, Reward: 680.0, MovingAvg(100): 540.90, avgMovingReward: 554.7, Epsilon: 0.3516, Actor_Loss: 21.9283, Critic_Loss: 5143.7690, Entropy: 1.6981

Episode 214, Reward: 330.0, MovingAvg(100): 541.40, avgMovingReward: 532.2, Epsilon: 0.3499, Actor_Loss: -47.8487, Critic_Loss: 2722.2875, Entropy: 1.8396

Episode 215, Reward: 660.0, MovingAvg(100): 545.30, avgMovingReward: 545.0, Epsilon: 0.3481, Actor_Loss: 22.7578, Critic_Loss: 745.0821, Entropy: 1.7229

Episode 216, Reward: 970.0, MovingAvg(100): 553.00, avgMovingReward: 587.5, Epsilon: 0.3464, Actor_Loss: -25.9566, Critic_Loss: 623.6974, Entropy: 1.8430

Episode 217, Reward: 360.0, MovingAvg(100): 552.30, avgMovingReward: 564.7, Epsilon: 0.3446, Actor_Loss: 15.8581, Critic_Loss: 377.0964, Entropy: 1.6870

Episode 218, Reward: 300.0, MovingAvg(100): 548.30, avgMovingReward: 538.3, Epsilon: 0.3429, Actor_Loss: 0.7431, Critic_Loss: 420.8209, Entropy: 1.8044

Episode 219, Reward: 240.0, MovingAvg(100): 547.60, avgMovingReward: 508.4, Epsilon: 0.3412, Actor_Loss: 5.1177, Critic_Loss: 778.6059, Entropy: 1.8188

Episode 220, Reward: 250.0, MovingAvg(100): 546.40, avgMovingReward: 482.6, Epsilon: 0.3395, Actor_Loss: 2.5891, Critic_Loss: 378.0814, Entropy: 1.8262

Episode 221, Reward: 320.0, MovingAvg(100): 530.50, avgMovingReward: 466.3, Epsilon: 0.3378, Actor_Loss: -45.8081, Critic_Loss: 2238.9289, Entropy: 1.8201

Episode 222, Reward: 380.0, MovingAvg(100): 531.40, avgMovingReward: 457.7, Epsilon: 0.3361, Actor_Loss: 13.6745, Critic_Loss: 622.2809, Entropy: 1.7247

Episode 223, Reward: 420.0, MovingAvg(100): 533.20, avgMovingReward: 453.9, Epsilon: 0.3344, Actor_Loss: -2.2549, Critic_Loss: 541.9445, Entropy: 1.6925

Episode 224, Reward: 930.0, MovingAvg(100): 539.70, avgMovingReward: 501.5, Epsilon: 0.3328, Actor_Loss: -170.1671, Critic_Loss: 54997.4398, Entropy: 1.7215

Episode 225, Reward: 280.0, MovingAvg(100): 538.90, avgMovingReward: 479.4, Epsilon: 0.3311, Actor_Loss: 47.1468, Critic_Loss: 1497.9521, Entropy: 1.5577

Episode 226, Reward: 220.0, MovingAvg(100): 537.60, avgMovingReward: 453.4, Epsilon: 0.3294, Actor_Loss: -4.1400, Critic_Loss: 1084.3972, Entropy: 1.7675

Episode 227, Reward: 260.0, MovingAvg(100): 536.10, avgMovingReward: 434.1, Epsilon: 0.3278, Actor_Loss: -19.9957, Critic_Loss: 693.8281, Entropy: 1.7902

Episode 228, Reward: 250.0, MovingAvg(100): 536.30, avgMovingReward: 415.7, Epsilon: 0.3262, Actor_Loss: 32.6520, Critic_Loss: 1030.5680, Entropy: 1.6448

Episode 229, Reward: 330.0, MovingAvg(100): 534.20, avgMovingReward: 407.1, Epsilon: 0.3245, Actor_Loss: 7.2264, Critic_Loss: 838.3650, Entropy: 1.7975

Episode 230, Reward: 320.0, MovingAvg(100): 533.50, avgMovingReward: 398.4, Epsilon: 0.3229, Actor_Loss: 15.6408, Critic_Loss: 1262.3844, Entropy: 1.9499

Episode 231, Reward: 270.0, MovingAvg(100): 533.60, avgMovingReward: 385.6, Epsilon: 0.3213, Actor_Loss: -25.9971, Critic_Loss: 1193.4419, Entropy: 2.0238

Episode 232, Reward: 240.0, MovingAvg(100): 531.00, avgMovingReward: 371.0, Epsilon: 0.3197, Actor_Loss: 22.3828, Critic_Loss: 874.4998, Entropy: 1.9212

Episode 233, Reward: 360.0, MovingAvg(100): 532.10, avgMovingReward: 369.9, Epsilon: 0.3181, Actor_Loss: -28.4517, Critic_Loss: 1932.3557, Entropy: 1.9338

Episode 234, Reward: 270.0, MovingAvg(100): 529.10, avgMovingReward: 359.9, Epsilon: 0.3165, Actor_Loss: -9.4647, Critic_Loss: 599.2075, Entropy: 1.9071

Episode 235, Reward: 550.0, MovingAvg(100): 531.80, avgMovingReward: 378.9, Epsilon: 0.3149, Actor_Loss: -45.6709, Critic_Loss: 976.6396, Entropy: 1.8286

Episode 236, Reward: 1060.0, MovingAvg(100): 536.50, avgMovingReward: 447.0, Epsilon: 0.3133, Actor_Loss: 78.4424, Critic_Loss: 3902.4135, Entropy: 1.3007

Episode 237, Reward: 280.0, MovingAvg(100): 535.20, avgMovingReward: 430.3, Epsilon: 0.3118, Actor_Loss: 21.3106, Critic_Loss: 614.0226, Entropy: 1.5397

Episode 238, Reward: 170.0, MovingAvg(100): 534.40, avgMovingReward: 404.3, Epsilon: 0.3102, Actor_Loss: 27.1185, Critic_Loss: 780.4484, Entropy: 1.6203

Episode 239, Reward: 580.0, MovingAvg(100): 535.90, avgMovingReward: 421.9, Epsilon: 0.3087, Actor_Loss: -70.6702, Critic_Loss: 8456.7604, Entropy: 1.6786

Episode 240, Reward: 290.0, MovingAvg(100): 531.00, avgMovingReward: 408.7, Epsilon: 0.3071, Actor_Loss: 49.0615, Critic_Loss: 4145.0436, Entropy: 1.4482

Episode 241, Reward: 410.0, MovingAvg(100): 529.60, avgMovingReward: 408.8, Epsilon: 0.3056, Actor_Loss: 46.8481, Critic_Loss: 2708.9139, Entropy: 1.3907

Episode 242, Reward: 240.0, MovingAvg(100): 530.10, avgMovingReward: 391.9, Epsilon: 0.3040, Actor_Loss: 13.2149, Critic_Loss: 503.5480, Entropy: 1.4218

Episode 243, Reward: 920.0, MovingAvg(100): 535.50, avgMovingReward: 444.7, Epsilon: 0.3025, Actor_Loss: -104.4409, Critic_Loss: 20593.7242, Entropy: 1.4609

Episode 244, Reward: 1050.0, MovingAvg(100): 542.30, avgMovingReward: 505.3, Epsilon: 0.3010, Actor_Loss: -168.3973, Critic_Loss: 45860.8656, Entropy: 1.0069

Episode 245, Reward: 940.0, MovingAvg(100): 550.30, avgMovingReward: 548.7, Epsilon: 0.2995, Actor_Loss: 111.0807, Critic_Loss: 7860.1558, Entropy: 0.8119

Episode 246, Reward: 480.0, MovingAvg(100): 544.70, avgMovingReward: 541.9, Epsilon: 0.2980, Actor_Loss: -6.5067, Critic_Loss: 298.5042, Entropy: 1.5140

Episode 247, Reward: 560.0, MovingAvg(100): 540.10, avgMovingReward: 543.7, Epsilon: 0.2965, Actor_Loss: -18.7212, Critic_Loss: 587.5355, Entropy: 1.3035

Episode 248, Reward: 930.0, MovingAvg(100): 543.30, avgMovingReward: 582.3, Epsilon: 0.2950, Actor_Loss: 39.5782, Critic_Loss: 14133.1142, Entropy: 1.2284

Episode 249, Reward: 550.0, MovingAvg(100): 540.20, avgMovingReward: 579.1, Epsilon: 0.2936, Actor_Loss: -13.2175, Critic_Loss: 5676.9728, Entropy: 1.5877

Episode 250, Reward: 290.0, MovingAvg(100): 538.90, avgMovingReward: 550.2, Epsilon: 0.2921, Actor_Loss: 47.0421, Critic_Loss: 1568.9641, Entropy: 1.5050

Episode 251, Reward: 240.0, MovingAvg(100): 538.60, avgMovingReward: 519.2, Epsilon: 0.2906, Actor_Loss: 3.9397, Critic_Loss: 264.2421, Entropy: 1.6959

Episode 252, Reward: 440.0, MovingAvg(100): 533.00, avgMovingReward: 511.2, Epsilon: 0.2892, Actor_Loss: -27.0159, Critic_Loss: 1426.4361, Entropy: 1.8092

Episode 253, Reward: 340.0, MovingAvg(100): 532.50, avgMovingReward: 494.1, Epsilon: 0.2877, Actor_Loss: 45.1703, Critic_Loss: 1011.9958, Entropy: 1.6290

