/opt/python/lib/python3.12/site-packages/torch/nn/modules/loss.py:610: UserWarning: Using a target size (torch.Size([128, 1])) that is different to the input size (torch.Size([128])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)

Episode 0, Reward: 430.0, MovingAvg(1): 430.00, avgMovingReward: 430.0, Epsilon: 0.8000, Actor_Loss: -58.9212, Critic_Loss: 2989.9937, Entropy: 2.1890
Episode 137, Reward: 410.0, MovingAvg(100): 417.00, avgMovingReward: 420.6, Epsilon: 0.5147, Actor_Loss: 47.2392, Critic_Loss: 2312.1608, Entropy: 1.3940

Episode 138, Reward: 250.0, MovingAvg(100): 412.70, avgMovingReward: 403.5, Epsilon: 0.5121, Actor_Loss: 14.3286, Critic_Loss: 1383.5995, Entropy: 1.7378

Episode 139, Reward: 430.0, MovingAvg(100): 414.60, avgMovingReward: 406.2, Epsilon: 0.5095, Actor_Loss: -60.7983, Critic_Loss: 3513.1358, Entropy: 1.8205

Episode 140, Reward: 780.0, MovingAvg(100): 417.10, avgMovingReward: 443.6, Epsilon: 0.5070, Actor_Loss: 43.8288, Critic_Loss: 862.9004, Entropy: 1.1087

Episode 141, Reward: 550.0, MovingAvg(100): 419.50, avgMovingReward: 454.2, Epsilon: 0.5044, Actor_Loss: -58.5848, Critic_Loss: 3430.5671, Entropy: 1.4066

Episode 142, Reward: 190.0, MovingAvg(100): 418.30, avgMovingReward: 427.8, Epsilon: 0.5019, Actor_Loss: 44.2134, Critic_Loss: 3117.4776, Entropy: 1.0828

Episode 143, Reward: 380.0, MovingAvg(100): 419.20, avgMovingReward: 423.0, Epsilon: 0.4994, Actor_Loss: 51.7843, Critic_Loss: 2744.5742, Entropy: 1.2036

Episode 144, Reward: 370.0, MovingAvg(100): 420.80, avgMovingReward: 417.7, Epsilon: 0.4969, Actor_Loss: -42.4360, Critic_Loss: 3844.2137, Entropy: 1.3505

Episode 145, Reward: 140.0, MovingAvg(100): 419.10, avgMovingReward: 389.9, Epsilon: 0.4944, Actor_Loss: 23.5364, Critic_Loss: 757.3357, Entropy: 1.2869

Episode 146, Reward: 1040.0, MovingAvg(100): 425.20, avgMovingReward: 454.9, Epsilon: 0.4920, Actor_Loss: -11.4059, Critic_Loss: 938.1300, Entropy: 1.4102

Episode 147, Reward: 1020.0, MovingAvg(100): 433.10, avgMovingReward: 511.4, Epsilon: 0.4895, Actor_Loss: 20.5500, Critic_Loss: 15708.5079, Entropy: 0.8370

Episode 148, Reward: 610.0, MovingAvg(100): 436.10, avgMovingReward: 521.3, Epsilon: 0.4871, Actor_Loss: -63.4154, Critic_Loss: 6933.4192, Entropy: 1.1710

Episode 149, Reward: 860.0, MovingAvg(100): 440.90, avgMovingReward: 555.2, Epsilon: 0.4846, Actor_Loss: -53.6614, Critic_Loss: 3599.0195, Entropy: 1.3374

Episode 150, Reward: 420.0, MovingAvg(100): 442.30, avgMovingReward: 541.7, Epsilon: 0.4822, Actor_Loss: -6.3261, Critic_Loss: 879.1877, Entropy: 1.1431

Episode 151, Reward: 270.0, MovingAvg(100): 441.30, avgMovingReward: 514.5, Epsilon: 0.4798, Actor_Loss: -5.7644, Critic_Loss: 1170.2338, Entropy: 1.0803

Episode 152, Reward: 1000.0, MovingAvg(100): 446.60, avgMovingReward: 563.0, Epsilon: 0.4774, Actor_Loss: -23.7648, Critic_Loss: 19727.3418, Entropy: 0.9814

Episode 153, Reward: 390.0, MovingAvg(100): 448.30, avgMovingReward: 545.7, Epsilon: 0.4750, Actor_Loss: 69.6518, Critic_Loss: 3474.3753, Entropy: 1.1284

Episode 154, Reward: 560.0, MovingAvg(100): 450.20, avgMovingReward: 547.2, Epsilon: 0.4726, Actor_Loss: 9.9281, Critic_Loss: 421.2952, Entropy: 1.5526

Episode 155, Reward: 560.0, MovingAvg(100): 452.40, avgMovingReward: 548.4, Epsilon: 0.4703, Actor_Loss: 32.1837, Critic_Loss: 2258.0617, Entropy: 1.2826

Episode 156, Reward: 860.0, MovingAvg(100): 457.90, avgMovingReward: 579.6, Epsilon: 0.4679, Actor_Loss: 98.8839, Critic_Loss: 7607.2777, Entropy: 1.0460

Episode 157, Reward: 570.0, MovingAvg(100): 457.10, avgMovingReward: 578.6, Epsilon: 0.4656, Actor_Loss: -76.4185, Critic_Loss: 5699.0961, Entropy: 1.5165

Episode 158, Reward: 570.0, MovingAvg(100): 454.60, avgMovingReward: 577.8, Epsilon: 0.4632, Actor_Loss: 97.8100, Critic_Loss: 6428.8354, Entropy: 1.1312

Episode 159, Reward: 270.0, MovingAvg(100): 454.50, avgMovingReward: 547.0, Epsilon: 0.4609, Actor_Loss: 43.0061, Critic_Loss: 1876.4270, Entropy: 1.6118

Episode 160, Reward: 360.0, MovingAvg(100): 455.10, avgMovingReward: 528.3, Epsilon: 0.4586, Actor_Loss: -51.7250, Critic_Loss: 3634.7213, Entropy: 1.7096

Episode 161, Reward: 290.0, MovingAvg(100): 454.60, avgMovingReward: 504.5, Epsilon: 0.4563, Actor_Loss: -45.8612, Critic_Loss: 3056.7079, Entropy: 1.6739

Episode 162, Reward: 330.0, MovingAvg(100): 449.70, avgMovingReward: 487.0, Epsilon: 0.4540, Actor_Loss: 12.4568, Critic_Loss: 790.2126, Entropy: 1.3151

Episode 163, Reward: 250.0, MovingAvg(100): 446.20, avgMovingReward: 463.3, Epsilon: 0.4518, Actor_Loss: 3.3565, Critic_Loss: 439.8110, Entropy: 1.4287

Episode 164, Reward: 660.0, MovingAvg(100): 450.60, avgMovingReward: 483.0, Epsilon: 0.4495, Actor_Loss: -5.5230, Critic_Loss: 1594.3219, Entropy: 1.3554

Episode 165, Reward: 840.0, MovingAvg(100): 455.40, avgMovingReward: 518.7, Epsilon: 0.4473, Actor_Loss: 43.7279, Critic_Loss: 1884.5875, Entropy: 1.2889

Episode 166, Reward: 340.0, MovingAvg(100): 450.30, avgMovingReward: 500.8, Epsilon: 0.4450, Actor_Loss: 15.1647, Critic_Loss: 294.6252, Entropy: 1.5529

Episode 167, Reward: 610.0, MovingAvg(100): 454.30, avgMovingReward: 511.7, Epsilon: 0.4428, Actor_Loss: -113.9904, Critic_Loss: 13074.7311, Entropy: 1.5644

Episode 168, Reward: 550.0, MovingAvg(100): 457.40, avgMovingReward: 515.6, Epsilon: 0.4406, Actor_Loss: 38.4831, Critic_Loss: 4053.6168, Entropy: 1.4448

Episode 169, Reward: 950.0, MovingAvg(100): 464.40, avgMovingReward: 559.0, Epsilon: 0.4384, Actor_Loss: -17.9036, Critic_Loss: 13206.5065, Entropy: 1.5417

Episode 170, Reward: 730.0, MovingAvg(100): 469.20, avgMovingReward: 576.1, Epsilon: 0.4362, Actor_Loss: 51.6750, Critic_Loss: 3821.3740, Entropy: 1.2487

Episode 171, Reward: 290.0, MovingAvg(100): 469.10, avgMovingReward: 547.5, Epsilon: 0.4340, Actor_Loss: 41.9071, Critic_Loss: 1037.1165, Entropy: 1.6450

Episode 172, Reward: 220.0, MovingAvg(100): 468.60, avgMovingReward: 514.7, Epsilon: 0.4318, Actor_Loss: -16.7672, Critic_Loss: 563.0137, Entropy: 1.8894

Episode 173, Reward: 480.0, MovingAvg(100): 469.90, avgMovingReward: 511.3, Epsilon: 0.4297, Actor_Loss: -48.0399, Critic_Loss: 1623.8249, Entropy: 1.8128

Episode 174, Reward: 860.0, MovingAvg(100): 467.00, avgMovingReward: 546.1, Epsilon: 0.4275, Actor_Loss: -29.8757, Critic_Loss: 1629.0692, Entropy: 1.5392

Episode 175, Reward: 180.0, MovingAvg(100): 467.00, avgMovingReward: 509.5, Epsilon: 0.4254, Actor_Loss: 36.8243, Critic_Loss: 1788.2937, Entropy: 1.4621

Episode 176, Reward: 220.0, MovingAvg(100): 466.20, avgMovingReward: 480.6, Epsilon: 0.4233, Actor_Loss: 37.3088, Critic_Loss: 580.7988, Entropy: 1.5341

Episode 177, Reward: 1040.0, MovingAvg(100): 471.90, avgMovingReward: 536.5, Epsilon: 0.4212, Actor_Loss: -90.6469, Critic_Loss: 9156.8029, Entropy: 1.6521

Episode 178, Reward: 970.0, MovingAvg(100): 478.50, avgMovingReward: 579.9, Epsilon: 0.4191, Actor_Loss: -138.8363, Critic_Loss: 56728.4480, Entropy: 1.2878

Episode 179, Reward: 1010.0, MovingAvg(100): 486.80, avgMovingReward: 622.9, Epsilon: 0.4170, Actor_Loss: 131.6243, Critic_Loss: 31805.2822, Entropy: 0.7878

Episode 180, Reward: 1020.0, MovingAvg(100): 486.30, avgMovingReward: 662.6, Epsilon: 0.4149, Actor_Loss: 41.9905, Critic_Loss: 5310.4953, Entropy: 1.0264

Episode 181, Reward: 930.0, MovingAvg(100): 493.30, avgMovingReward: 689.3, Epsilon: 0.4128, Actor_Loss: 86.2670, Critic_Loss: 10304.4698, Entropy: 1.0179

Episode 182, Reward: 610.0, MovingAvg(100): 491.10, avgMovingReward: 681.4, Epsilon: 0.4107, Actor_Loss: 87.2116, Critic_Loss: 7337.8148, Entropy: 1.1738

Episode 183, Reward: 1260.0, MovingAvg(100): 498.50, avgMovingReward: 739.3, Epsilon: 0.4087, Actor_Loss: 48.7976, Critic_Loss: 10952.0959, Entropy: 1.3552

Episode 184, Reward: 270.0, MovingAvg(100): 498.60, avgMovingReward: 692.3, Epsilon: 0.4066, Actor_Loss: -12.8620, Critic_Loss: 464.3596, Entropy: 1.3498

Episode 185, Reward: 410.0, MovingAvg(100): 499.70, avgMovingReward: 664.1, Epsilon: 0.4046, Actor_Loss: 80.6260, Critic_Loss: 5613.7158, Entropy: 1.0886

Episode 186, Reward: 690.0, MovingAvg(100): 503.10, avgMovingReward: 666.7, Epsilon: 0.4026, Actor_Loss: 10.7448, Critic_Loss: 847.2806, Entropy: 1.5770

Episode 187, Reward: 370.0, MovingAvg(100): 500.40, avgMovingReward: 637.0, Epsilon: 0.4006, Actor_Loss: 59.1273, Critic_Loss: 3065.5932, Entropy: 1.3782

Episode 188, Reward: 800.0, MovingAvg(100): 504.50, avgMovingReward: 653.3, Epsilon: 0.3986, Actor_Loss: 59.5352, Critic_Loss: 2888.0894, Entropy: 1.2864

Episode 189, Reward: 570.0, MovingAvg(100): 507.30, avgMovingReward: 645.0, Epsilon: 0.3966, Actor_Loss: -0.9206, Critic_Loss: 275.7025, Entropy: 1.5171

Episode 190, Reward: 540.0, MovingAvg(100): 510.80, avgMovingReward: 634.5, Epsilon: 0.3946, Actor_Loss: -71.7844, Critic_Loss: 6879.4167, Entropy: 1.8294

Episode 191, Reward: 340.0, MovingAvg(100): 509.30, avgMovingReward: 605.0, Epsilon: 0.3926, Actor_Loss: 44.2901, Critic_Loss: 1971.8238, Entropy: 1.5685

Episode 192, Reward: 360.0, MovingAvg(100): 509.00, avgMovingReward: 580.5, Epsilon: 0.3907, Actor_Loss: -1.7484, Critic_Loss: 303.9594, Entropy: 1.7706

Episode 193, Reward: 1440.0, MovingAvg(100): 518.90, avgMovingReward: 666.5, Epsilon: 0.3887, Actor_Loss: -237.6584, Critic_Loss: 81724.6391, Entropy: 1.7133

Episode 194, Reward: 190.0, MovingAvg(100): 510.60, avgMovingReward: 618.8, Epsilon: 0.3868, Actor_Loss: 84.0328, Critic_Loss: 12074.1118, Entropy: 1.3128

Episode 195, Reward: 520.0, MovingAvg(100): 507.70, avgMovingReward: 609.0, Epsilon: 0.3848, Actor_Loss: 0.7670, Critic_Loss: 1093.1294, Entropy: 1.8614

Episode 196, Reward: 340.0, MovingAvg(100): 507.60, avgMovingReward: 582.1, Epsilon: 0.3829, Actor_Loss: -0.7363, Critic_Loss: 157.2958, Entropy: 1.8197

Episode 197, Reward: 300.0, MovingAvg(100): 507.60, avgMovingReward: 553.9, Epsilon: 0.3810, Actor_Loss: 5.9429, Critic_Loss: 717.5239, Entropy: 1.8116

Episode 198, Reward: 260.0, MovingAvg(100): 506.90, avgMovingReward: 524.5, Epsilon: 0.3791, Actor_Loss: 2.8444, Critic_Loss: 348.1481, Entropy: 1.7901

Episode 199, Reward: 1210.0, MovingAvg(100): 507.70, avgMovingReward: 593.0, Epsilon: 0.3772, Actor_Loss: 94.8510, Critic_Loss: 14168.5123, Entropy: 1.0880
Checkpoint saved at episode 200 (2025-04-30 22:51:50)
