/opt/python/lib/python3.12/site-packages/torch/nn/modules/loss.py:610: UserWarning: Using a target size (torch.Size([128, 1])) that is different to the input size (torch.Size([128])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)

Episode 0, Reward: 430.0, MovingAvg(1): 430.00, avgMovingReward: 430.0, Epsilon: 0.8000, Actor_Loss: -58.9212, Critic_Loss: 2989.9937, Entropy: 2.1890
Episode 32, Reward: 280.0, MovingAvg(33): 335.15, avgMovingReward: 363.6, Epsilon: 0.8000, Actor_Loss: 4.9787, Critic_Loss: 453.3991, Entropy: 2.0330

Episode 33, Reward: 220.0, MovingAvg(34): 331.76, avgMovingReward: 349.2, Epsilon: 0.8000, Actor_Loss: -9.6040, Critic_Loss: 187.7288, Entropy: 2.0252

Episode 34, Reward: 270.0, MovingAvg(35): 330.00, avgMovingReward: 341.3, Epsilon: 0.8000, Actor_Loss: -35.5566, Critic_Loss: 1138.2837, Entropy: 2.0318

Episode 35, Reward: 460.0, MovingAvg(36): 333.61, avgMovingReward: 353.2, Epsilon: 0.8000, Actor_Loss: 29.8303, Critic_Loss: 631.6328, Entropy: 2.0399

Episode 36, Reward: 350.0, MovingAvg(37): 334.05, avgMovingReward: 352.9, Epsilon: 0.8000, Actor_Loss: -35.7229, Critic_Loss: 1328.6392, Entropy: 2.0765

Episode 37, Reward: 240.0, MovingAvg(38): 331.58, avgMovingReward: 341.6, Epsilon: 0.8000, Actor_Loss: 27.7799, Critic_Loss: 1059.1768, Entropy: 2.0360

Episode 38, Reward: 680.0, MovingAvg(39): 340.51, avgMovingReward: 375.4, Epsilon: 0.8000, Actor_Loss: 86.2077, Critic_Loss: 13402.0659, Entropy: 1.9236

Episode 39, Reward: 240.0, MovingAvg(40): 338.00, avgMovingReward: 361.9, Epsilon: 0.8000, Actor_Loss: 34.8337, Critic_Loss: 1145.6370, Entropy: 1.8801

Episode 40, Reward: 530.0, MovingAvg(41): 342.68, avgMovingReward: 378.7, Epsilon: 0.8000, Actor_Loss: 32.4661, Critic_Loss: 1102.1800, Entropy: 1.8927

Episode 41, Reward: 310.0, MovingAvg(42): 341.90, avgMovingReward: 371.8, Epsilon: 0.8000, Actor_Loss: -37.1708, Critic_Loss: 958.2819, Entropy: 1.9543

Episode 42, Reward: 310.0, MovingAvg(43): 341.16, avgMovingReward: 365.6, Epsilon: 0.8000, Actor_Loss: 36.4842, Critic_Loss: 911.5715, Entropy: 1.8875

Episode 43, Reward: 290.0, MovingAvg(44): 340.00, avgMovingReward: 358.1, Epsilon: 0.8000, Actor_Loss: -7.1232, Critic_Loss: 970.2573, Entropy: 1.9538

Episode 44, Reward: 210.0, MovingAvg(45): 337.11, avgMovingReward: 343.3, Epsilon: 0.8000, Actor_Loss: -19.4551, Critic_Loss: 908.4229, Entropy: 1.9238

Episode 45, Reward: 310.0, MovingAvg(46): 336.52, avgMovingReward: 339.9, Epsilon: 0.8000, Actor_Loss: -27.8623, Critic_Loss: 572.2779, Entropy: 1.8783

Episode 46, Reward: 430.0, MovingAvg(47): 338.51, avgMovingReward: 348.9, Epsilon: 0.8000, Actor_Loss: -8.5605, Critic_Loss: 478.4653, Entropy: 1.8470

Episode 47, Reward: 230.0, MovingAvg(48): 336.25, avgMovingReward: 337.1, Epsilon: 0.8000, Actor_Loss: 13.9401, Critic_Loss: 300.1455, Entropy: 1.8708

Episode 48, Reward: 310.0, MovingAvg(49): 335.71, avgMovingReward: 334.3, Epsilon: 0.8000, Actor_Loss: 9.2025, Critic_Loss: 534.6754, Entropy: 1.8881

Episode 49, Reward: 380.0, MovingAvg(50): 336.60, avgMovingReward: 338.9, Epsilon: 0.8000, Actor_Loss: 10.9784, Critic_Loss: 663.2514, Entropy: 1.8843

Episode 50, Reward: 280.0, MovingAvg(51): 335.49, avgMovingReward: 333.0, Epsilon: 0.7960, Actor_Loss: -2.5651, Critic_Loss: 387.3028, Entropy: 1.8800

Episode 51, Reward: 370.0, MovingAvg(52): 336.15, avgMovingReward: 336.7, Epsilon: 0.7920, Actor_Loss: -11.4408, Critic_Loss: 764.9104, Entropy: 1.8505

Episode 52, Reward: 470.0, MovingAvg(53): 338.68, avgMovingReward: 350.0, Epsilon: 0.7881, Actor_Loss: 9.9393, Critic_Loss: 356.0836, Entropy: 1.8063

Episode 53, Reward: 220.0, MovingAvg(54): 336.48, avgMovingReward: 337.0, Epsilon: 0.7841, Actor_Loss: 29.4976, Critic_Loss: 1032.4968, Entropy: 1.8089

Episode 54, Reward: 370.0, MovingAvg(55): 337.09, avgMovingReward: 340.3, Epsilon: 0.7802, Actor_Loss: 12.3764, Critic_Loss: 356.9242, Entropy: 1.8277

Episode 55, Reward: 340.0, MovingAvg(56): 337.14, avgMovingReward: 340.3, Epsilon: 0.7763, Actor_Loss: 26.0686, Critic_Loss: 351.3774, Entropy: 1.7983

Episode 56, Reward: 310.0, MovingAvg(57): 336.67, avgMovingReward: 337.3, Epsilon: 0.7724, Actor_Loss: -19.3404, Critic_Loss: 1848.2231, Entropy: 1.8605

Episode 57, Reward: 650.0, MovingAvg(58): 342.07, avgMovingReward: 368.5, Epsilon: 0.7686, Actor_Loss: 80.7915, Critic_Loss: 9946.1445, Entropy: 1.7106

Episode 58, Reward: 820.0, MovingAvg(59): 350.17, avgMovingReward: 413.7, Epsilon: 0.7647, Actor_Loss: -77.4475, Critic_Loss: 7979.0574, Entropy: 1.7537

